STT,Tên bài hát,Tác giả,Thể loại
820,Gửi Người Em Hà Tĩnh,Phạm Tôn Tẫn  - Đinh Hữu Tân,Nhạc Trữ tình quê hương
821,Mơ,Lam Phương,Lam Phương|Bolero
822,Bông Hồng Dâng Mẹ,Giác An,Phật giáo|Giác An
823,Tết Bình An,Hana Cẩm Tiên,pop|Ballad
824,Sao Ta Ngược Lối,Đông Thiên Đức,pop|Đông Thiên Đức|Ballad
825,Viết từ KBC,Anh Bằng,
826,Chợ Đêm Miền Tây,Trần Trịnh,Bolero
827,Vì Ai Vì Anh,Đỗ Hiếu,Nhạc trẻ
828,Chuyện tình đã qua,Khúc Lan,Nhạc ngoại lời Việt
829,Cưa Là Đổ,Sinike,Sinike|pop
830,Ánh Hào Quang,Mai Phin|Kha Tử Nhan (柯子颜),Pop
831,Đừng Gả Con Xa,Jin Tuấn Nam,Pop
832,Nếu một ngày,Khánh Băng,"Bolero, ĐQ Asia"
833,Ngàn năm vẫn đợi (Dakishimete),Khúc Lan,
834,Ngày Tết Quê Em,Lý Bông Dừa,Ca cổ
835,Yêu Đùa Yêu Giỡn,Tô Minh Hiệu,"Pop, Ballad"
836,Mây (Gió 2),Lắng|N2L,"Pop, Ballad"
837,Tháng Giêng,Nguyễn Ngọc Thịnh,Nhạc trữ tình
838,Nụ cười trong mắt ấy,Phan Ni Tấn,Nhạc trữ tình
839,Xin đừng có mùa đông,Trúc Giang,Nhạc trữ tình|Trúc Giang
840,Về miền tây,Minh Thùy,Ca cổ
841,Lấy Chồng Làm Chi Sớm,Jin Tuấn Nam,pop|Jin Tuấn Nam
842,Ba ngọn nến lung linh,Ngọc Lễ,Nhạc thiếu nhi
843,Hãy sống cho tuổi trẻ,Nhạc ngoại|Cao Tùng Anh,"Bolero, ĐQ Asia"
844,Thà giết người yêu,Vinh Sử,Bolero
845,Trót dại,Tuấn Hải,
846,Tương Tư Thành Họa,Trần Đăng Quang,Trần Đăng Quang
847,Tâm sự ngày cưới,Tuấn Hải,Bolero
848,Em Muốn Anh Đưa Em Về,Đỗ Hiếu,Nhạc trẻ
849,Khắc ghi tình Chúa,Sr. Hiền Hòa,Nhạc thánh ca|Sr. Hiền Hòa
850,Người yêu dấu,Khúc Lan,Nhạc ngoại lời Việt
851,Thay Lòng,Nal,Nhạc trẻ
852,Chuyện tình nơi làng quê,Giao Tiên,
853,Đom Đóm,Trịnh Trần Phương Tuấn (Jack),Trịnh Trần Phương Tuấn (Jack)|Nhạc trẻ
854,Tiễn một người đi,Đăng Minh,Ca cổ
855,Tình đã bay xa,Khúc Lan,
856,Sao không đến,Anh Bằng,Bolero
857,Người tình cô đơn,Anh Bằng,Bolero
858,Thêm Một Lần Đau,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
859,7 ngày đợi mong,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
860,Nỗi buồn sa mạc,Tú Nhi|Tuấn Lê,Tuấn Lê|Tú Nhi|Bolero
861,Màu tím hoa sim,Duy Khánh|Hữu Loan,Bolero|Hữu Loan|Duy Khánh
862,Khúc ca ngày mùa,Lam Phương,Lam Phương|Bolero
863,Bài Này Không Để Đi Diễn,Bùi Công Nam,Nhạc trẻ
864,Đồn vắng chiều xuân,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
865,Hướng dương,Nhật Hoàng,Nhạc trẻ|Nhật Hoàng
866,Thương Anh Tư Miệt Vườn,Hào JK,"Pop, Balld"
867,Ngỏ ý,Hoài Phương,Trữ tình
868,Ngưu lang chức nữ,Anh Bằng,
869,Vì yêu đó anh,Trúc Sinh|Lê Đức Long,Nhạc trữ tình|Trúc Sinh|Lê Đức Long
870,Tình Tan,Hoàng Văn Minh,Nhạc Trữ Tình
871,Ngày Xuân Tái Ngộ,Trịnh Lâm Ngân,Bolero
872,Duyên Tình,Thế Thông,Nhạc thánh ca|Thế Thông
873,Dù em vẫn biết,Nguyễn Huy Điền,Nguyễn Huy Điền|Nhạc trữ tình
874,Giấc mơ buồn,Lê Quang,Nhạc trữ tình|Lê Quang|Hoàng Tuấn
875,Định mệnh,Giao Tiên,Bolero
876,Lạc Chốn Hồng Trần,Lã Phong Lâm,Lã Phong Lâm
877,Mojito,Trần Thủy Ngọc Hân,Nhạc hoa lời Việt
878,Biển cạn,Ngô Hồng Khanh,Ca cổ
879,Em Đẹp Như Mơ,Vũ Xuân Hùng,Vũ Xuân Hùng|Nhạc ngoại|Lời Việt
880,Luyến tiếc,Hoàng Văn Minh,Nhạc Trữ Tình
881,Gọi Cho Anh,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
882,Nghẹn ngào,Lam Phương,Bolero|Lam Phương
883,Thương hận,Tú Nhi|Hồ Đình Phương,Bolero|Tú Nhi|Hồ Đình Phương
884,Trúc đào,Anh Bằng,Bolero
885,Định mệnh,Giao Tiên,
886,Tình Cha,Giác An,Phật giáo|Giác An
887,Người chết trở về,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
888,Có Những Nỗi Đau,Đông Thiên Đức,Đông Thiên Đức|pop|Ballad
889,Còn nhớ không em,Vinh Sử,
890,Chẳng Sao Cả,Đông Thiên Đức,"Pop, Ballad"
891,Chờ Thêm Một Đời,Dương Khắc Linh,"Pop, Ballad"
892,Tình buồn đêm mưa,Khúc Lan,Nhạc ngoại lời Việt
893,You Are My Crush,Nguyên Jenda,pop|Nguyên Jenda
894,Ơn Cha Tình Mẹ,Ngô Huỳnh,Ngô Huỳnh|Bolero
895,Đoản khúc cuối cho em,Hoàng Trọng Thủy,Nhạc trữ tình|Hoàng Trọng Thủy
896,Yêu Là Cưới,Sinike,pop
897,Bao giờ quên em,Trần Minh Phi,Trần Minh Phi|Nhạc trữ tình|Hoàng Tuấn
898,Thương Nhau Tới Bến,Nal,Nhạc trẻ
899,Thế Giới Trong Em,Sinike,pop
900,Ai Rồi Cũng Khác,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
901,Trần gian tội lỗi,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
902,Đường Tôi Đi Tới,Vĩnh Phúc,Nhạc tình ca
903,Hai trái tim vàng,Trịnh Lâm Ngân,Bolero
904,Người ở lại Charlie,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
905,Lỗi hẹn cùng ca dao,Vinh Sử,
906,Đêm tiễn biệt,Tô Thanh Sơn,
907,Ly rượu mừng,Vinh Sử,Bolero
908,Cô Thắm về làng,Giao Tiên,
909,11 giờ 11 phút,RIN9,Rin9|pop
910,Ái Nộ,Masew|Khoi Vu,Great Entertainment
911,Túy ca,Chây Kỳ|Trương Minh Dũng,"Bolero, ĐQ Asia"
912,Thầy đã đến,Danh Mã Phi Hùng,Nhạc Phật
913,Tương tư,Đỗ Kim Bảng,Nhạc vàng
914,Xin tiến dâng về Mẹ,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
915,Dễ Đến Dễ Đi,Quang Hùng MasterD,Quang Hùng MasterD|Ballad|Rap
916,Thì Thôi,Nal,Nhạc trẻ
917,Thanh Âm Từ Bi,Dee Trần,Nhạc trẻ
918,Biết đến bao giờ (Đời là vạn ngày sầu),Lam Phương,
919,Tình đã vụt bay,Vũ Tuấn Đức,Vũ Tuấn Đức|Nhạc trữ tình
920,Tình Yêu Cao Thượng,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
921,Hãy Xem Như Ta Chưa Từng,Đỗ Hiếu,Nhạc trẻ
922,Người thợ săn và đàn chim nhỏ,Anh Bằng,Bolero
923,Tình đẹp xót xa,Anh Bằng,Bolero
924,Chuyện tình hoa trắng,Anh Bằng,Bolero
925,Trăm năm bến cũ,Duy Khánh,Duy Khánh|Bolero
926,Dìa Miền Tây,Tamke,Nhạc trẻ|Tamke
927,Ai Sẽ Là Em,Vũ Xuân Hùng,Vũ Xuân Hùng|Lời Việt|Nhạc ngoại
928,Thức Dậy Đi,Nal,Nhạc trẻ
929,Sợ Lắm 2,NB3 Hoài Bảo,Nhạc trẻ
930,Bỏ Ngài con biết theo ai ?,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
931,Đời nghèo,Viên Nghiệp,Bolero|Viên Nghiệp
932,Thương thầy khổ hạnh,Danh Mã Phi Hùng,Nhạc Phật
933,Nụ cười chua cay (Một lần hiện diện),Tú Nhi|Song An,Song An|Bolero|Tú Nhi
934,Tình yêu và trái đắng,Sỹ Đan,Sỹ Đan|Nhạc trữ tình
935,Đà Lạt xa nhau,Anh Bằng,Bolero
936,Bài hát này cho em,Anh Bằng,Bolero
937,Chưa Bao Giờ Em Quên,Sinike,Sinike|pop
938,Sớm Mai,H2K,Nhạc trẻ|H2K
939,Chính Chúa Chọn Con,Nguyên Minh,Thánh ca
940,Đau Bởi Vì Ai,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
941,Đêm không ngủ,Anh Bằng,
942,Tình anh lính chiến,Lam Phương,Lam Phương|Bolero
943,Khoảng Cách,Đỗ Hiếu,Nhạc trẻ
944,Em Là Quá Khứ Không Thể Quên,Thiên Tú,Ballad|Thiên Tú
945,Chuyện Phim Buồn,Vũ Xuân Hùng,Nhạc ngoại|Vũ Xuân Hùng|Lời Việt
946,Bài ca năm tấn,Nguyễn Văn Tý,Nhạc trữ tình
947,Nhớ Về Một Mùa Xuân,Trần Trịnh,
948,Nỗi lòng người đi ( Tôi xa Hà Nội),Anh Bằng,
949,Đừng gọi anh bằng chú,Đăng Minh,Ca cổ
950,Bài ca tuổi trẻ,Anh Bằng,Bolero
951,Con gái nhỏ của ba,Nguyễn Văn Chung,Nhạc thiếu nhi
952,Lỡ Yêu Người Đậm Sâu,Zuong Zero,Pop
953,Trò chơi tình ái,Dee Trần,Nhạc trẻ
954,Riêng Một Góc Trời,Ngô Thụy Miên,"Bolero, ĐQ Asia"
955,Anh cứ hẹn,Anh Bằng,Bolero
956,Về miền đá tìm em,Ngô Sỹ Ngọc,Nhạc trữ tình
957,Muốn Cưa Hay Được Cưa,Jin Tuấn Nam,Jin Tuấn Nam|pop
958,Điều gì đó,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
959,Tình phụ,Vũ Phương,Bolero|Vũ Phương
960,Về Bên Mẹ,Thế Thông,Thế Thông|Nhạc thánh ca
961,Người Dưng Bên Gối,Dee Trần,Nhạc trẻ
962,Đâu Còn Đây,Nal,Nhạc trẻ
963,Tự Giác Đi,Bùi Công Nam,Nhạc trẻ
964,Lời Nói Điêu Trên Môi Em,Đỗ Nguyên Phúc,Đỗ Nguyên Phúc|Ballad|Rap
965,Xin Dìu Nhau Đến Tình Yêu,Đỗ Kim Bảng,Nhạc vàng
966,Cám Ơn Kẻ Thứ Ba,Lâm Triệu Minh,Lâm Triệu Minh
967,Hoa học trò,Anh Bằng,Bolero
968,Chuyện tình mộng thường,Trần Thiện Thanh,Bolero
969,Em vẫn chờ anh,Giao Tiên,Bolero
970,Thế gian tình,Kiyoshi Phan,Pop
971,Giết Người Yêu Dấu,Vũ Xuân Hùng,Nhạc ngoại|Vũ Xuân Hùng|Lời Việt
972,Một Đời Là Sen Ngát,Hà Tùng Long,Dân ca Quan họ
973,Chắc Do Em Sai,TVk,TVk|pop
974,Đau Lòng,Huỳnh Chương,pop
975,Đàn Ông Chẳng Yêu Ai Thật Lòng,Lâm Triệu Minh,Lâm Triệu Minh
976,Đêm giao thừa nghe một khúc dân ca,Đăng Minh,Ca cổ
977,Một Tình Yêu,Thế Thông,Nhạc thánh ca|Thế Thông
978,Tình Mộng Mơ,Johnny Dũng,Nhạc trữ tình
979,Bóng nhỏ giáo đường,Phượng Linh,Trữ tình
980,Dù Anh Tay Trắng,Lý Bông Dừa,Ca cổ
981,Hãy Yêu Như Chưa Từng Được Yêu,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
982,Giờ em tính sao,Trường Lê,pop|Trường Lê
983,Lầm,Lam Phương,Lam Phương|Bolero
984,Bất cần đời,Viên Nghiệp,Bolero|Viên Nghiệp
985,Ngồi Buồn Nhớ Mẹ,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
986,Về Cùng Em Nha,Hào JK,"Pop, Ballad"
987,Tình em trao anh (Tình anh trao em),Khúc Lan,Nhạc ngoại lời Việt
988,Ngôi Sao Cô Đơn,Trịnh Trần Phương Tuấn (Jack),Trịnh Trần Phương Tuấn (Jack)|Nhạc trẻ
989,Xin làm chim rừng núi,Trịnh Lâm Ngân,
990,Khách Sang Đò,Đông Thiên Đức,Đông Thiên Đức|pop|Ballad
991,Nguyện cầu cho người,Lam Phương,Bolero|Lam Phương
992,Mừng Phật Thích Ca Chào Đời,Thích Nhật Từ,Nhạc phật giáo
993,Chuyện tình mộng thường,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
994,Men tình nồng,Trúc Sinh|Lê Đức Long,Lê Đức Long|Nhạc trữ tình|Trúc Sinh
995,Thư xuân trên rừng cao,Trịnh Lâm Ngân,
996,Đừng Lụy Đồng Tiền,Nhuận Hải|Giác An,Nhạc thánh ca|Nhuận Hải|Giác An
997,Bông lục bình,Hà Phương,
998,Lễ Dâng,Thế Thông,Thế Thông|Nhạc thánh ca
999,Ơi Anh Gì Ơi,Hana Cẩm Tiên,pop|Ballad|Hana Cẩm Tiên
1000,Tình Muộn,Trần Trịnh,Bolero
1001,Tình người ngoại đạo,Phượng Linh,Trữ tình
1002,Thương Quá Xá,Quách Duy Thái (Hoon),Pop
1003,Chẳng Sao Cả,Đông Thiên Đức,"Pop,Ballad"
1004,Mình ơi em chắng cho về,Anh Bằng,Bolero
1005,Khâu Vai Chợ Tình,Lục Hòa|Đinh Trọng Hòa,Dân ca trữ tình quê hương
1006,Dã Quỳ,Đạt Long Vinh,Nhạc trẻ
1007,Tình Ngang Trái,Mỹ Nhung,Pops
1008,Nhành cây trứng cá,Vinh Sử,
1009,Rừng thu,Khúc Lan,Nhạc ngoại lời Việt
1010,Thuyền tình trên sóng,Khúc Lan,Nhạc ngoại lời Việt
1011,Má Em Dặn Anh (Giờ Không Cưới Thì Nào Cưới 2),Hồng Quân WyTy,Pop
1012,Một lần nữa thôi,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
1013,Nhớ một chiều xuân,Nguyễn Văn Đông,Trữ tình
1014,Em vẫn hoài yêu anh,Trịnh Lâm Ngân,Bolero
1015,Hey Mambo,Đông Thiên Đức,pop|Đông Thiên Đức|Ballad
1016,Anh thương em còn non dại,Đình Dũng,Ballad|Đình Dũng
1017,Xin Đừng Lặng Im,Dương Khắc Linh,"Pop, Ballad"
1018,Từ khi vắng anh,Anh Bằng,Bolero
1019,Cưới Em Về Anh Còn Yêu Em Không?,Bùi Công Nam,Nhạc trẻ
1020,Nửa đêm khấn hứa,Tuấn Hải,
1021,Búp Bê Không Tình Yêu,Vũ Xuân Hùng,Nhạc ngoại|Vũ Xuân Hùng|Lời Việt
1022,Mùa đông thương nhớ,Hùng Linh,
1023,Nhớ Mẹ (hợp xướng),Thế Thông,Thế Thông|Nhạc thánh ca
1024,Sao muốn…? (Giết người anh yêu),Vinh Sử,
1025,Em Về Làm Dâu,Lương Gia Hùng,Pop
1026,Em là nhất miền Tây 2,Jin Tuấn Nam,Jin Tuấn Nam|pop
1027,100 Years Love,Nam Đức,Nam Duc|Nhạc trẻ
1028,Khóc cho người ai khóc cho em,TVk,TVk|Ballad|pop
1029,Tiếng ca u hoài,Anh Bằng,Bolero
1030,Trao nhau nhẫn cưới,Phạm Minh Cảnh,Bolero
1031,Có Trăng Quên Đèn,H-Kray|Huỳnh Chương,Huỳnh Chương|pop|H-Kray
1032,Cạn chén tình sầu,Long Sơn,Bolero|Long Sơn
1033,Yêu người chung vách,Vinh Sử,
1034,Câu Chuyện Đời Tôi,Vĩnh Phúc,Nhạc thánh ca
1035,Chẳng Ai Yêu Mãi Một Người,NB3 Hoài Bảo,Nhạc trẻ
1036,Khóc mẹ,Lam Phương,Lam Phương|Bolero
1037,Qua Những Tiếng Ve,TaynguyenSound,Nhạc trẻ|TaynguyenSound
1038,Anh Chỉ muốn,H2K,H2K|pop
1039,Thôi thế thì chia tay,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
1040,Cáo Trạng Duyên Trần,Hoàng Oanh,"Pop, Ballad"
1041,Chào năm học mới Trung học Phổ thông Lê Lợi,Ngô Sỹ Ngọc,Nhạc trữ tình
1042,Tôi Không Cô Đơn,Lý Bông Dừa,Ca cổ
1043,Về quê cũ,Nguyễn Ngọc Thiện,Nhạc trữ tình|Nguyễn Ngọc Thiện|Hoàng Tuấn
1044,Bây giờ còn nhớ hay không,Anh Bằng,Bolero
1045,Không Thấy Ngày Về,Lã Phong Lâm,Lã Phong Lâm
1046,Quán gấm đầu làng,Giao Tiên,
1047,Một đời tan vỡ,Lam Phương,Bolero|Lam Phương
1048,Hoa học trò,Anh Bằng,
1049,Khi tình yêu tạ từ,Khúc Lan,Nhạc ngoại lời Việt
1050,Hàn Ni (Mùa thu lá bay 2),Anh Bằng,
1051,Cưa Là Đổ,Sinike,pop
1052,Cho Anh Xin Lỗi Được Không,Đông Thiên Đức,pop|Ballad|Đông Thiên Đức
1053,Mùa Tình Yêu,Vũ Xuân Hùng,Nhạc ngoại|Vũ Xuân Hùng|Lời Việt
1054,Chuyện tình thời chinh chiến,Lam Phương,Lam Phương|Bolero
1055,Chuyện tình tan vỡ,Khúc Lan,Bolero
1056,Bạch Nguyệt Quang Và Nốt Chu Sa,DGRADE,Nhạc trẻ
1057,Lời Yêu Cuối,Ngô Huỳnh,Ngô Huỳnh|Bolero
1058,Cưới đi mình ơi,Jin Tuấn Nam,pop|Jin Tuấn Nam
1059,Cô nữ sinh Gia Long,Phượng Linh,Trữ tình
1060,Chuyện giàn thiên lý 2,Anh Bằng,Bolero
1061,Xin Đừng Nhấc Máy,B Ray|Trang Yue,Great Entertainment|Hiphop Việt|Rap
1062,Mong em về,Đức Minh|Vũ Tuấn Đức,Nhạc trữ tình|Vũ Đức Tuấn|Đức Minh
1063,Thôi Em Đừng Khóc,Hồ Minh Tài,Dân ca
1064,Vòng tay người ấy,Khúc Lan,Nhạc ngoại lời Việt
1065,Bằng lòng đi em,Vinh Sử,
1066,Em và hoa,Cây,Cây|pop
1067,Một Đời Theo Chúa,Thế Thông,Nhạc thánh ca|Thế Thông
1068,Ngất Ngây,H2K,H2K|Nhạc trẻ
1069,Vũ Trụ Trọng Anh,Hoàng Lan,Nhạc Pop|Ballad|Hoàng Lan
1070,Người tình và mùa thu,Trịnh Lâm Ngân,Bolero
1071,Chỉ còn là kỷ niệm,Lam Phương,Lam Phương|Bolero
1072,Tình Quê,Đỗ Kim Bảng,Nhạc vàng
1073,Kỳ diệu,Anh Bằng,Bolero
1074,Hoang vu,Ngọc Sơn,Ngọc Sơn|Bolero
1075,Sợ ta mất nhau,Lê Công Nguyên Khải,Ballad|Lê Công Nguyên Khải
1076,Bước Qua Tuổi Đau Lòng,Đông Thiên Đức,"Pop, Ballad"
1077,Chia Tay Là Giải Pháp,Sinike,pop
1078,Vĩnh biệt người tình,Lam Phương,Lam Phương|Bolero
1079,Lỡ chuyến đò ngang,Vũ Phương,Vũ Phương|Bolero
1080,Trả nhẫn kim cương,Vinh Sử,
1081,Chiều thu ấy,Lam Phương,Lam Phương|Bolero
1082,Một phút suy tư,Lam Phương,Bolero|Lam Phương
1083,Ngày em thay lòng,Lã Phong Lâm,pop|Lã Phong Lâm
1084,Tìm em trong kỷ niệm,Minh Thùy,Ca cổ
1085,Tết Này Con Sẽ Về,Bùi Công Nam,Nhạc trẻ
1086,Cho anh say,Thiện Ngôn,Thiện Ngôn|Ballad
1087,Đường sang nhà em,Giao Tiên,
1088,Nụ Hôn Dưới Mưa,Vũ Xuân Hùng,Vũ Xuân Hùng|Lời Việt|Nhạc ngoại
1089,Cứ ngỡ tình trăm năm,Nguyễn Huy Điền,Nguyễn Huy Điền|Nhạc trữ tình
1090,Chuyện tình hoa Pensée,Phượng Linh,Trữ tình
1091,Take My Hear Away,Nguyễn Quốc Cường,Nhạc trẻ
1092,Chiếc Hài Lọ Lem,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
1093,Về mái nhà xưa,Nguyễn Văn Đông,Trữ tình
1094,Một Thuở Thanh Bình,TaynguyenSound,Nhạc trẻ|TaynguyenSound
1095,Đừng Trách Em Tội Nghiệp,Giao Tiên,Nhạc trữ tình
1096,100 phần trăm,Tuấn Hải|Ngọc Sơn,Bolero
1097,Na na na,Trung Quân,Trung Quân|Hoàng Tuấn|Nhạc trữ tình
1098,Thương quá cha tôi,Vinh Sử,Bolero
1099,Dù nắng có mong manh,Anh Bằng,Bolero
1100,Sài Gòn kỷ niệm,Anh Bằng,Bolero
1101,Lạc Nhau,One Music,pop|Ballad|One Music
1102,Lan Và Điệp 5,Hamlet Trương,Nhạc Trữ Tình
1103,Mạch nguồn xứ Nghệ,Phan Phúc Thao,Nhạc trữ tình
1104,Mùa xuân trong thư em (Mùa xuân trông thư em),Viễn Chinh|Tú Nhi,Viễn Chinh|Tú Nhi|Bolero
1105,Lời Thề Anh Em Tôi,Nguyễn Quốc Cường|Nhạc Hoa,Nhạc trẻ
1106,Tâm sự của em,Anh Bằng,Bolero
1107,Thương một người ở xa,Hoàng Phương,Bolero
1108,Chuyện vườn sầu riêng,Vinh Sử,
1109,Em Sẽ Quên Anh,Nal,Nhạc trẻ
1110,Vì Chính Là Em,Đỗ Hiếu|Phúc Bồ|Rick,Nhạc trẻ
1111,Ai nói yêu em đêm nay,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
1112,Em tập lái ô tô,Nguyễn Văn Tý,
1113,Trái tim,Vinh Sử,Bolero
1114,Phi Điểu Và Ve Sầu,DGRADE,Nhạc trẻ
1115,Tình xuân,Lê Đức Long,Lê Đức Long|Nhạc trữ tình
1116,Bao đêm không ngủ,Vinh Sử,Bolero
1117,Khu vui chơi thiếu nhi,Nguyễn Văn Chung,Nhạc thiếu nhi
1118,Không phải em,Phong Lê,Phong Lê|Nhạc trẻ
1119,Vì Là Sai Lối,Anh Thi,Nhạc Trẻ
1120,Ngày hạnh phúc,Lam Phương,Bolero|Lam Phương
1121,Là 1 Thằng Con Trai,Trịnh Trần Phương Tuấn (Jack),Trịnh Trần Phương Tuấn (Jack)|Nhạc trẻ
1122,Nam mô quan thế âm bồ tát,Vinh Sử,Bolero
1123,Anh Không Theo Đuổi Em Nữa,Bùi Công Nam,Nhạc trẻ
1124,Mười tám nét kiêu sa,Vinh Sử,Bolero
1125,Nợ Mẹ Cha,Hoàng Văn Minh,Nhạc trữ tình
1126,Trách người trong mộng (Phản bội),Vinh Sử,Bolero
1127,Màu xanh Noel,Hoài Phương,Trữ tình
1128,Liễu khúc tương tư,Võ Hoài Phúc,Hoàng Tuấn|Nhạc trữ tình|Võ Hoài Phúc
1129,Anh Chỉ Yêu Bản Thân Mình,Lâm Triệu Minh,Lâm Triệu Minh
1130,Hãy trả lời em,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
1131,Nhất Thân,Khôi Vũ,pop|Great Entertainment
1132,Thuyền giấy chiều mưa,Hoàng Phương,Bolero
1133,Hẹn Em Kiếp Sau,TiB,Ballad|TiB|Rap
1134,Em đi rồi,Giao Tiên,
1135,Hai Phương Trời Cách Biệt,Vĩnh Phúc,Nhạc tình ca
1136,Nỗi Nhớ Phương Xa,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
1137,Ngài Vẫn Thứ Tha,Phạm Tôn Tẫn,Nhạc Thánh Ca
1138,Từ lúc anh đi,Anh Bằng,Bolero
1139,Tìm Về Đường Sáng,Giác An,Phật giáo|Giác An
1140,Thân phận mồ côi,Anh Bằng,Bolero
1141,Tôi Biết,Thế Thông,Thế Thông|Nhạc thánh ca
1142,Con đường hạnh phúc,Ngân Giang,Nhạc trữ tình|Ngân Giang
1143,Khúc hát ru của người mẹ lính,An Thuyên,Nhạc cách mạng
1144,Tình thiên thu,Lam Phương,Bolero|Lam Phương
1145,Hát cho mai sau,Trịnh Lâm Ngân,Bolero
1146,Tango tím,Anh Bằng,Bolero
1147,Năm Qua Đã Làm Gì,Bùi Công Nam,Nhạc trẻ
1148,Quên cả lối về,Trúc Giang,Trúc Giang|Nhạc trữ tình
1149,Phiên gác đêm xuân,Vì Dân - Nguyễn Văn Đông,Trữ tình
1150,Lỡ bước sang ngang,Anh Bằng,Bolero
1151,Nói với tôi một lời,Diệu Hương,"Bolero, ĐQ Asia"
1152,Thuyền không bến đỗ,Lam Phương,Bolero|Lam Phương
1153,Tình yêu,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
1154,Chuyện một đêm,Anh Bằng,
1155,Ngôi Nhà Và Đống Rơm,Nal,Nhạc trẻ
1156,Yêu người như thế đó,Trần Thiện Thanh|Phạm Lê Phan,Trần Thiện Thanh|Phạm Lê Phan|Bolero
1157,Bao giờ ta gặp lại ta,Trịnh Lâm Ngân,Bolero
1158,Ai Vùi Nỗi Đau Dưới Cát,Đông Thiên Đức,"Pop, Ballad"
1159,Có Trăng Quên Đèn,Quách Duy Thái (Hoon)|Nguyễn Văn Dĩ Khang (Anh Rồng),Pop
1160,Tiếc thương,Anh Tài,Bolero
1161,Xin Hãy Thứ Tha,Dương Khắc Linh,"Pop, Ballad"
1162,Bé Chúc Ngủ Ngon,Đông Phương Tường,Nhạc thiếu nhi
1163,Yêu thầm,Anh Bằng,Bolero
1164,Tiền Trước Tình Sau,Lý Bông Dừa,Ca cổ
1165,Mẹ Là Bến Đợi,Thế Thông,Nhạc thánh ca|Thế Thông
1166,Hóa Tương Tư,Nguyễn Văn Dĩ Khang (Anh Rồng),Pop
1167,Nàng áo tím,Anh Bằng,Bolero
1168,Hết Nhạc Con Về,RZ Mas,RZ Mas|Nhạc trẻ
1169,Đi cùng em,Lemon Climb,Lemon Climb|Ballad
1170,"Mơ về em (Anh mơ về em, mơ về anh)",Khúc Lan,Nhạc ngoại lời Việt
1171,Cổ Điển - Classic Love,TaynguyenSound,Nhạc trẻ|TaynguyenSound
1172,Sân Khấu Buồn,Vũ Xuân Hùng,Vũ Xuân Hùng|Lời Việt|Nhạc ngoại
1173,Dư âm mùa giáng sinh,Ngân Giang,Nhạc trữ tình|Ngân Giang
1174,Rồi Nâng Cái Ly,Nal,Nhạc trẻ
1175,Bông súng trắng,Ngô Hồng Khanh,Ca cổ
1176,Có Phải Đã Quá Muộn Màng,Nguyễn Hoài Anh,Pop
1177,Đêm quan họ,Ngô Hồng Khanh,Ca cổ
1178,Thời Không Sai Lệch,DGRADE,Nhạc trẻ
1179,Giọt lệ tình,Lam Phương,Bolero|Lam Phương
1180,Kiếp Phiêu Bồng 2,Johnny Dũng,Nhạc trữ tình
1181,Vì Chính Là Anh,Dee Trần,Nhạc Hoa Lời Việt
1182,Xin Em Về,Nguyễn Cường Thịnh (Jombie),Pop
1183,Lựa chọn của anh,Khánh Cường,Khánh Cường|Ballad
1184,Bướm trắng,Anh Bằng,
1185,Ô Kìa Tết Đến,BÌN,pop|BÌN
1186,Xa Mãi,Jin Tuấn Nam,Jin Tuấn Nam|Pop
1187,Xứ Nghệ Ơi,Ngô Sỹ Ngọc,Nhạc trữ tình
1188,Lý chim xanh,Vinh Sử,
1189,Bảy Nổi Ba Chìm,NB3 Hoài Bảo,Nhạc trẻ
1190,Màu má tóc mây (xuân 2023 version),H2K|Quốc Lượng,Athena Music
1191,Giải Thoát Cho Nhau,Đông Thiên Đức,Ballad|Đông Thiên Đức|pop
1192,Người tình La Lan,Vinh Sử,
1193,Đêm Buồn,Vĩnh Phúc,Nhạc thánh ca
1194,Trách Ai Bây Giờ,Đỗ Hiếu,Nhạc trẻ
